;Scopy version,f4beeb1
;Exported on,vendredi octobre 10/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
3137,-9.863,0.119058
3138,-9.862,0.119058
3139,-9.861,0.119058
3140,-9.86,0.119058
3141,-9.859,0.119058
3142,-9.858,0.119058
3143,-9.857,0.119058
3144,-9.856,0.119058
3145,-9.855,0.119058
3146,-9.854,0.119058
3147,-9.853,0.119058
3148,-9.852,0.119058
3149,-9.851,0.119058
3150,-9.85,0.119058
3151,-9.849,0.119058
3152,-9.848,0.119058
3153,-9.847,0.119058
3154,-9.846,0.119058
3155,-9.845,0.119058
3156,-9.844,0.119058
3157,-9.843,0.119058
3158,-9.842,0.119058
3159,-9.841,0.119058
3160,-9.84,0.119058
3161,-9.839,0.119058
3162,-9.838,0.119058
3163,-9.837,0.119058
3164,-9.836,0.119058
3165,-9.835,0.119058
3166,-9.834,0.119058
3167,-9.833,0.119058
3168,-9.832,0.119058
3169,-9.831,0.119058
3170,-9.83,0.119058
3171,-9.829,0.119058
3172,-9.828,0.119058
3173,-9.827,0.119058
3174,-9.826,0.119058
3175,-9.825,0.119058
3176,-9.824,0.119058
3177,-9.823,0.119058
3178,-9.822,0.119058
3179,-9.821,0.119058
3180,-9.82,0.119058
3181,-9.819,0.119058
3182,-9.818,0.119058
3183,-9.817,0.119058
3184,-9.816,0.119058
3185,-9.815,0.119058
3186,-9.814,0.119058
3187,-9.813,0.119058
3188,-9.812,0.119058
3189,-9.811,0.119058
3190,-9.81,0.119058
3191,-9.809,0.119058
3192,-9.808,0.119058
3193,-9.807,0.119058
3194,-9.806,0.119058
3195,-9.805,0.119058
3196,-9.804,0.119058
3197,-9.803,0.119058
3198,-9.802,0.119058
3199,-9.801,0.119058
3200,-9.8,0.119058
3201,-9.799,0.119058
3202,-9.798,0.119058
3203,-9.797,0.119058
3204,-9.796,0.119058
3205,-9.795,0.119058
3206,-9.794,0.119058
3207,-9.793,0.119058
3208,-9.792,0.119058
3209,-9.791,0.119058
3210,-9.79,0.119058
3211,-9.789,0.119058
3212,-9.788,0.119058
3213,-9.787,0.119058
3214,-9.786,0.119058
3215,-9.785,0.119058
3216,-9.784,0.119058
3217,-9.783,0.119058
3218,-9.782,0.119058
3219,-9.781,0.119058
3220,-9.78,0.119058
3221,-9.779,0.119058
3222,-9.778,0.119058
3223,-9.777,0.119058
3224,-9.776,0.119058
3225,-9.775,0.119058
3226,-9.774,0.119058
3227,-9.773,0.119058
3228,-9.772,0.119058
3229,-9.771,0.119058
3230,-9.77,0.119058
3231,-9.769,0.119058
3232,-9.768,0.119058
3233,-9.767,0.119058
3234,-9.766,0.119058
3235,-9.765,0.119058
3236,-9.764,0.119058
3237,-9.763,0.119058
3238,-9.762,0.119058
3239,-9.761,0.119058
3240,-9.76,0.119058
3241,-9.759,0.119058
3242,-9.758,0.119058
3243,-9.757,0.119058
3244,-9.756,0.119058
3245,-9.755,0.119058
3246,-9.754,0.119058
3247,-9.753,0.119058
3248,-9.752,0.119058
3249,-9.751,0.119058
3250,-9.75,0.119058
3251,-9.749,0.119058
3252,-9.748,0.119058
3253,-9.747,0.119058
3254,-9.746,0.119058
3255,-9.745,0.119058
