;Scopy version,f4beeb1
;Exported on,lundi octobre 13/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-2.003,0.125841,-0.00538096
1,-2.002,0.125841,-0.00538096
2,-2.001,0.125841,-0.00538096
3,-2,0.125841,-0.00364211
4,-1.999,0.125841,-0.00364211
5,-1.998,0.125841,-0.00364211
6,-1.997,0.125841,-0.00364211
7,-1.996,0.125841,-0.00364211
8,-1.995,0.125841,-0.00364211
9,-1.994,0.125841,-0.00364211
10,-1.993,0.125841,-0.00364211
11,-1.992,0.125841,-0.00364211
12,-1.991,0.125841,-0.00364211
13,-1.99,0.125841,-0.00364211
14,-1.989,0.125841,-0.00364211
15,-1.988,0.125841,-0.00364211
16,-1.987,0.125841,-0.00364211
17,-1.986,0.125841,-0.00538096
18,-1.985,0.125841,-0.00538096
19,-1.984,0.125841,-0.00538096
20,-1.983,0.125841,-0.00538096
21,-1.982,0.125841,-0.00538096
22,-1.981,0.125841,-0.00538096
23,-1.98,0.125841,-0.00538096
24,-1.979,0.125841,-0.00364211
25,-1.978,0.125841,-0.00364211
26,-1.977,0.125841,-0.00364211
27,-1.976,0.125841,-0.00364211
28,-1.975,0.125841,-0.00364211
29,-1.974,0.125841,-0.00364211
30,-1.973,0.125841,-0.00364211
31,-1.972,0.125841,-0.00364211
32,-1.971,0.125841,-0.00364211
33,-1.97,0.125841,-0.00364211
34,-1.969,0.125841,-0.00364211
35,-1.968,0.125841,-0.00364211
36,-1.967,0.125841,-0.00364211
37,-1.966,0.125841,-0.00538096
38,-1.965,0.125841,-0.00538096
39,-1.964,0.125841,-0.00538096
40,-1.963,0.125841,-0.00538096
41,-1.962,0.125841,-0.00538096
42,-1.961,0.125841,-0.00538096
43,-1.96,0.125841,-0.00538096
44,-1.959,0.125841,-0.00364211
45,-1.958,0.125841,-0.00364211
46,-1.957,0.125841,-0.00364211
47,-1.956,0.125841,-0.00364211
48,-1.955,0.125841,-0.00364211
49,-1.954,0.125841,-0.00364211
50,-1.953,0.125841,-0.00364211
51,-1.952,0.125841,-0.00364211
52,-1.951,0.125841,-0.00364211
53,-1.95,0.125841,-0.00364211
54,-1.949,0.125841,-0.00364211
55,-1.948,0.125841,-0.00364211
56,-1.947,0.125841,-0.00364211
57,-1.946,0.125841,-0.00538096
58,-1.945,0.125841,-0.00538096
59,-1.944,0.125841,-0.00538096
60,-1.943,0.125841,-0.00538096
61,-1.942,0.125841,-0.00538096
62,-1.941,0.125841,-0.00538096
63,-1.94,0.125841,-0.00538096
64,-1.939,0.125841,-0.00364211
65,-1.938,0.125841,-0.00364211
66,-1.937,0.125841,-0.00364211
67,-1.936,0.125841,-0.00364211
68,-1.935,0.125841,-0.00364211
69,-1.934,0.125841,-0.00364211
70,-1.933,0.125841,-0.00364211
71,-1.932,0.125841,-0.00364211
72,-1.931,0.125841,-0.00364211
