;Scopy version,f4beeb1
;Exported on,vendredi octobre 10/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH2(V)
4806,-3.194,0.25023
4807,-3.193,0.25023
4808,-3.192,0.25023
4809,-3.191,0.25023
4810,-3.19,0.25023
4811,-3.189,0.25023
4812,-3.188,0.25023
4813,-3.187,0.25023
4814,-3.186,0.25023
4815,-3.185,0.25023
4816,-3.184,0.25023
4817,-3.183,0.25023
4818,-3.182,0.25023
4819,-3.181,0.25023
4820,-3.18,0.25023
4821,-3.179,0.25023
4822,-3.178,0.25023
4823,-3.177,0.25023
4824,-3.176,0.25023
4825,-3.175,0.25023
4826,-3.174,0.25023
4827,-3.173,0.25023
4828,-3.172,0.25023
4829,-3.171,0.25023
4830,-3.17,0.25023
4831,-3.169,0.25023
4832,-3.168,0.25023
4833,-3.167,0.25023
4834,-3.166,0.25023
4835,-3.165,0.25023
4836,-3.164,0.25023
4837,-3.163,0.25023
4838,-3.162,0.25023
4839,-3.161,0.25023
4840,-3.16,0.25023
4841,-3.159,0.25023
4842,-3.158,0.25023
4843,-3.157,0.25023
4844,-3.156,0.25023
4845,-3.155,0.25023
4846,-3.154,0.25023
4847,-3.153,0.25023
4848,-3.152,0.25023
4849,-3.151,0.25023
4850,-3.15,0.25023
4851,-3.149,0.25023
4852,-3.148,0.25023
4853,-3.147,0.25023
4854,-3.146,0.25023
4855,-3.145,0.25023
4856,-3.144,0.25023
4857,-3.143,0.25023
4858,-3.142,0.25023
4859,-3.141,0.25023
4860,-3.14,0.25023
4861,-3.139,0.25023
4862,-3.138,0.25023
4863,-3.137,0.25023
4864,-3.136,0.25023
4865,-3.135,0.25023
4866,-3.134,0.25023
4867,-3.133,0.25023
4868,-3.132,0.25023
4869,-3.131,0.25023
4870,-3.13,0.25023
4871,-3.129,0.25023
4872,-3.128,0.25023
4873,-3.127,0.25023
4874,-3.126,0.25023
4875,-3.125,0.25023
4876,-3.124,0.25023
4877,-3.123,0.25023
4878,-3.122,0.25023
4879,-3.121,0.25023
4880,-3.12,0.25023
4881,-3.119,0.25023
4882,-3.118,0.25023
4883,-3.117,0.25023
4884,-3.116,0.25023
4885,-3.115,0.25023
4886,-3.114,0.25023
4887,-3.113,0.25023
4888,-3.112,0.25023
4889,-3.111,0.25023
4890,-3.11,0.25023
4891,-3.109,0.25023
4892,-3.108,0.25023
4893,-3.107,0.25023
4894,-3.106,0.25023
4895,-3.105,0.25023
4896,-3.104,0.25023
4897,-3.103,0.25023
4898,-3.102,0.25023
4899,-3.101,0.25023
4900,-3.1,0.25023
4901,-3.099,0.25023
4902,-3.098,0.25023
4903,-3.097,0.25023
4904,-3.096,0.25023
4905,-3.095,0.25023
4906,-3.094,0.25023
4907,-3.093,0.25023
4908,-3.092,0.25023
4909,-3.091,0.25023
4910,-3.09,0.25023
4911,-3.089,0.25023
4912,-3.088,0.25023
4913,-3.087,0.25023
4914,-3.086,0.25023
4915,-3.085,0.25023
4916,-3.084,0.25023
4917,-3.083,0.25023
4918,-3.082,0.25023
4919,-3.081,0.25023
4920,-3.08,0.25023
4921,-3.079,0.25023
4922,-3.078,0.25023
4923,-3.077,0.25023
4924,-3.076,0.25023
4925,-3.075,0.25023
4926,-3.074,0.25023
4927,-3.073,0.25023
4928,-3.072,0.25023
4929,-3.071,0.25023
4930,-3.07,0.25023
4931,-3.069,0.25023
4932,-3.068,0.25023
4933,-3.067,0.25023
4934,-3.066,0.25023
4935,-3.065,0.25023
4936,-3.064,0.25023
4937,-3.063,0.25023
4938,-3.062,0.25023
4939,-3.061,0.25023
4940,-3.06,0.25023
4941,-3.059,0.25023
4942,-3.058,0.25023
4943,-3.057,0.25023
4944,-3.056,0.25023
4945,-3.055,0.25023
4946,-3.054,0.25023
4947,-3.053,0.25023
4948,-3.052,0.25023
4949,-3.051,0.25023
4950,-3.05,0.25023
4951,-3.049,0.25023
4952,-3.048,0.25023
4953,-3.047,0.25023
4954,-3.046,0.25023
4955,-3.045,0.25023
4956,-3.044,0.25023
4957,-3.043,0.25023
4958,-3.042,0.25023
4959,-3.041,0.25023
4960,-3.04,0.25023
4961,-3.039,0.25023
4962,-3.038,0.25023
4963,-3.037,0.25023
4964,-3.036,0.25023
4965,-3.035,0.25023
4966,-3.034,0.25023
4967,-3.033,0.25023
4968,-3.032,0.25023
4969,-3.031,0.25023
4970,-3.03,0.25023
4971,-3.029,0.25023
4972,-3.028,0.25023
4973,-3.027,0.25023
4974,-3.026,0.25023
4975,-3.025,0.25023
4976,-3.024,0.25023
4977,-3.023,0.25023
4978,-3.022,0.25023
4979,-3.021,0.25023
4980,-3.02,0.25023
4981,-3.019,0.25023
4982,-3.018,0.25023
4983,-3.017,0.25023
4984,-3.016,0.25023
4985,-3.015,0.25023
4986,-3.014,0.25023
4987,-3.013,0.25023
4988,-3.012,0.25023
4989,-3.011,0.25023
4990,-3.01,0.25023
4991,-3.009,0.25023
4992,-3.008,0.25023
4993,-3.007,0.25023
4994,-3.006,0.25023
4995,-3.005,0.25023
4996,-3.004,0.25023
4997,-3.003,0.25023
4998,-3.002,0.25023
4999,-3.001,0.25023
5000,-3,0.25023
5001,-2.999,0.25023
5002,-2.998,0.25023
5003,-2.997,0.25023
5004,-2.996,0.25023
5005,-2.995,0.25023
5006,-2.994,0.25023
5007,-2.993,0.25023
5008,-2.992,0.25023
5009,-2.991,0.25023
5010,-2.99,0.25023
5011,-2.989,0.25023
5012,-2.988,0.25023
5013,-2.987,0.25023
5014,-2.986,0.25023
5015,-2.985,0.25023
5016,-2.984,0.25023
5017,-2.983,0.25023
5018,-2.982,0.25023
5019,-2.981,0.25023
5020,-2.98,0.25023
5021,-2.979,0.25023
5022,-2.978,0.25023
5023,-2.977,0.25023
5024,-2.976,0.25023
5025,-2.975,0.25023
5026,-2.974,0.25023
5027,-2.973,0.25023
5028,-2.972,0.25023
5029,-2.971,0.25023
5030,-2.97,0.25023
5031,-2.969,0.25023
5032,-2.968,0.25023
5033,-2.967,0.25023
5034,-2.966,0.25023
5035,-2.965,0.25023
5036,-2.964,0.25023
5037,-2.963,0.25023
5038,-2.962,0.25023
5039,-2.961,0.25023
5040,-2.96,0.25023
5041,-2.959,0.25023
5042,-2.958,0.25023
5043,-2.957,0.25023
5044,-2.956,0.25023
5045,-2.955,0.25023
5046,-2.954,0.25023
5047,-2.953,0.25023
5048,-2.952,0.25023
5049,-2.951,0.25023
5050,-2.95,0.25023
5051,-2.949,0.25023
5052,-2.948,0.25023
