;Scopy version,f4beeb1
;Exported on,mardirier 24/02/2026
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-4.28,0.297249
1,-4.279,0.29551
2,-4.278,0.269427
3,-4.277,0.149447
4,-4.276,0.147708
5,-4.275,0.14423
6,-4.274,0.14423
7,-4.273,0.14423
8,-4.272,0.14423
9,-4.271,0.14423
10,-4.27,0.14423
11,-4.269,0.14423
12,-4.268,0.14423
13,-4.267,0.14423
14,-4.266,0.14423
15,-4.265,0.14423
16,-4.264,0.14423
17,-4.263,0.14423
18,-4.262,0.14423
19,-4.261,0.14423
20,-4.26,0.14423
21,-4.259,0.14423
22,-4.258,0.14423
23,-4.257,0.14423
24,-4.256,0.14423
25,-4.255,0.14423
26,-4.254,0.14423
27,-4.253,0.14423
28,-4.252,0.14423
29,-4.251,0.14423
30,-4.25,0.14423
31,-4.249,0.14423
32,-4.248,0.14423
33,-4.247,0.14423
34,-4.246,0.14423
35,-4.245,0.14423
36,-4.244,0.14423
37,-4.243,0.14423
38,-4.242,0.14423
39,-4.241,0.14423
40,-4.24,0.14423
41,-4.239,0.14423
42,-4.238,0.14423
43,-4.237,0.14423
44,-4.236,0.14423
45,-4.235,0.14423
46,-4.234,0.14423
47,-4.233,0.14423
48,-4.232,0.14423
49,-4.231,0.14423
50,-4.23,0.14423
51,-4.229,0.14423
52,-4.228,0.14423
53,-4.227,0.14423
54,-4.226,0.14423
55,-4.225,0.14423
56,-4.224,0.14423
57,-4.223,0.14423
58,-4.222,0.14423
59,-4.221,0.14423
60,-4.22,0.14423
61,-4.219,0.14423
62,-4.218,0.14423
63,-4.217,0.14423
64,-4.216,0.14423
65,-4.215,0.14423
66,-4.214,0.14423
67,-4.213,0.14423
68,-4.212,0.14423
69,-4.211,0.14423
70,-4.21,0.14423
71,-4.209,0.145969
72,-4.208,0.14423
73,-4.207,0.182485
74,-4.206,0.288555
75,-4.205,0.297249
76,-4.204,0.278121
77,-4.203,0.175529
78,-4.202,0.149447
79,-4.201,0.147708
80,-4.2,0.14423
81,-4.199,0.14423
82,-4.198,0.14423
83,-4.197,0.14423
84,-4.196,0.14423
85,-4.195,0.14423
86,-4.194,0.14423
87,-4.193,0.14423
88,-4.192,0.14423
89,-4.191,0.14423
90,-4.19,0.14423
91,-4.189,0.14423
92,-4.188,0.14423
93,-4.187,0.14423
94,-4.186,0.14423
95,-4.185,0.14423
96,-4.184,0.14423
97,-4.183,0.14423
98,-4.182,0.14423
99,-4.181,0.14423
100,-4.18,0.14423
101,-4.179,0.14423
102,-4.178,0.14423
103,-4.177,0.14423
104,-4.176,0.14423
105,-4.175,0.14423
106,-4.174,0.14423
107,-4.173,0.14423
108,-4.172,0.14423
109,-4.171,0.14423
110,-4.17,0.14423
111,-4.169,0.14423
112,-4.168,0.14423
113,-4.167,0.14423
114,-4.166,0.14423
115,-4.165,0.14423
116,-4.164,0.14423
117,-4.163,0.14423
118,-4.162,0.14423
119,-4.161,0.14423
120,-4.16,0.14423
121,-4.159,0.14423
122,-4.158,0.14423
123,-4.157,0.14423
124,-4.156,0.14423
125,-4.155,0.14423
126,-4.154,0.14423
127,-4.153,0.14423
128,-4.152,0.14423
129,-4.151,0.14423
130,-4.15,0.14423
131,-4.149,0.14423
132,-4.148,0.14423
133,-4.147,0.14423
134,-4.146,0.14423
135,-4.145,0.14423
136,-4.144,0.14423
137,-4.143,0.14423
138,-4.142,0.14423
139,-4.141,0.14423
140,-4.14,0.14423
141,-4.139,0.14423
142,-4.138,0.14423
143,-4.137,0.14423
144,-4.136,0.14423
145,-4.135,0.14423
146,-4.134,0.145969
147,-4.133,0.14423
148,-4.132,0.177268
149,-4.131,0.286816
150,-4.13,0.300727
151,-4.129,0.27986
152,-4.128,0.177268
153,-4.127,0.149447
154,-4.126,0.147708
155,-4.125,0.14423
156,-4.124,0.14423
157,-4.123,0.14423
158,-4.122,0.14423
159,-4.121,0.14423
160,-4.12,0.14423
161,-4.119,0.14423
162,-4.118,0.14423
163,-4.117,0.14423
164,-4.116,0.14423
165,-4.115,0.14423
166,-4.114,0.14423
167,-4.113,0.14423
168,-4.112,0.14423
169,-4.111,0.14423
170,-4.11,0.14423
171,-4.109,0.14423
172,-4.108,0.14423
173,-4.107,0.14423
174,-4.106,0.14423
175,-4.105,0.14423
176,-4.104,0.14423
177,-4.103,0.14423
