;Scopy version,f4beeb1
;Exported on,mardi fevrier 24/02/2026
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-1.6,0.209255
1,-1.599,0.209255
2,-1.598,0.209255
3,-1.597,0.209255
4,-1.596,0.209255
5,-1.595,0.209255
6,-1.594,0.209255
7,-1.593,0.209255
8,-1.592,0.209255
9,-1.591,0.209255
10,-1.59,0.209255
11,-1.589,0.209255
12,-1.588,0.209255
13,-1.587,0.209255
14,-1.586,0.209255
15,-1.585,0.209255
16,-1.584,0.209255
17,-1.583,0.209255
18,-1.582,0.209255
19,-1.581,0.209255
20,-1.58,0.209255
21,-1.579,0.209255
22,-1.578,0.209255
23,-1.577,0.209255
24,-1.576,0.209255
25,-1.575,0.209255
26,-1.574,0.209255
27,-1.573,0.209255
28,-1.572,0.209255
29,-1.571,0.209255
30,-1.57,0.209255
31,-1.569,0.209255
32,-1.568,0.209255
33,-1.567,0.212732
34,-1.566,0.210993
35,-1.565,0.384879
36,-1.564,0.426611
37,-1.563,0.294458
38,-1.562,0.219688
39,-1.561,0.209255
40,-1.56,0.209255
41,-1.559,0.209255
42,-1.558,0.209255
43,-1.557,0.209255
44,-1.556,0.209255
45,-1.555,0.209255
46,-1.554,0.209255
47,-1.553,0.209255
48,-1.552,0.209255
49,-1.551,0.209255
50,-1.55,0.209255
51,-1.549,0.209255
52,-1.548,0.209255
53,-1.547,0.209255
54,-1.546,0.209255
55,-1.545,0.209255
56,-1.544,0.209255
57,-1.543,0.209255
58,-1.542,0.209255
59,-1.541,0.209255
60,-1.54,0.209255
61,-1.539,0.209255
62,-1.538,0.209255
63,-1.537,0.209255
64,-1.536,0.209255
65,-1.535,0.209255
66,-1.534,0.209255
67,-1.533,0.209255
68,-1.532,0.209255
69,-1.531,0.209255
70,-1.53,0.209255
71,-1.529,0.209255
72,-1.528,0.209255
73,-1.527,0.209255
74,-1.526,0.209255
75,-1.525,0.209255
76,-1.524,0.209255
77,-1.523,0.209255
78,-1.522,0.209255
79,-1.521,0.209255
80,-1.52,0.209255
81,-1.519,0.209255
82,-1.518,0.209255
83,-1.517,0.212732
84,-1.516,0.212732
85,-1.515,0.388356
86,-1.514,0.426611
87,-1.513,0.290981
88,-1.512,0.219688
89,-1.511,0.209255
90,-1.51,0.209255
91,-1.509,0.209255
92,-1.508,0.209255
93,-1.507,0.209255
94,-1.506,0.209255
95,-1.505,0.209255
96,-1.504,0.209255
97,-1.503,0.209255
98,-1.502,0.209255
99,-1.501,0.209255
100,-1.5,0.209255
101,-1.499,0.209255
102,-1.498,0.209255
103,-1.497,0.209255
104,-1.496,0.209255
105,-1.495,0.209255
106,-1.494,0.209255
107,-1.493,0.209255
108,-1.492,0.209255
109,-1.491,0.209255
110,-1.49,0.209255
111,-1.489,0.209255
112,-1.488,0.209255
113,-1.487,0.209255
114,-1.486,0.209255
115,-1.485,0.209255
116,-1.484,0.209255
117,-1.483,0.209255
118,-1.482,0.209255
119,-1.481,0.209255
120,-1.48,0.209255
121,-1.479,0.209255
122,-1.478,0.209255
123,-1.477,0.209255
124,-1.476,0.209255
125,-1.475,0.209255
126,-1.474,0.209255
127,-1.473,0.209255
128,-1.472,0.209255
129,-1.471,0.209255
130,-1.47,0.209255
131,-1.469,0.209255
132,-1.468,0.209255
133,-1.467,0.212732
134,-1.466,0.212732
135,-1.465,0.391834
136,-1.464,0.426611
137,-1.463,0.290981
138,-1.462,0.217949
139,-1.461,0.209255
140,-1.46,0.209255
141,-1.459,0.209255
142,-1.458,0.209255
143,-1.457,0.209255
144,-1.456,0.209255
145,-1.455,0.209255
146,-1.454,0.209255
147,-1.453,0.209255
148,-1.452,0.209255
149,-1.451,0.209255
150,-1.45,0.209255
151,-1.449,0.209255
152,-1.448,0.209255
153,-1.447,0.209255
154,-1.446,0.209255
155,-1.445,0.209255
156,-1.444,0.209255
157,-1.443,0.209255
158,-1.442,0.209255
159,-1.441,0.209255
160,-1.44,0.209255
161,-1.439,0.209255
162,-1.438,0.209255
163,-1.437,0.209255
164,-1.436,0.209255
165,-1.435,0.209255
166,-1.434,0.209255
167,-1.433,0.209255
168,-1.432,0.209255
169,-1.431,0.209255
170,-1.43,0.209255
