;Scopy version,f4beeb1
;Exported on,mardi fvrier 24/02/2026
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-1.6,0.210993
1,-1.599,0.210993
2,-1.598,0.210993
3,-1.597,0.210993
4,-1.596,0.210993
5,-1.595,0.210993
6,-1.594,0.210993
7,-1.593,0.210993
8,-1.592,0.210993
9,-1.591,0.210993
10,-1.59,0.210993
11,-1.589,0.210993
12,-1.588,0.210993
13,-1.587,0.210993
14,-1.586,0.210993
15,-1.585,0.210993
16,-1.584,0.210993
17,-1.583,0.214471
18,-1.582,0.21621
19,-1.581,0.393573
20,-1.58,0.42835
21,-1.579,0.292719
22,-1.578,0.219688
23,-1.577,0.210993
24,-1.576,0.210993
25,-1.575,0.210993
26,-1.574,0.210993
27,-1.573,0.210993
28,-1.572,0.210993
29,-1.571,0.210993
30,-1.57,0.210993
31,-1.569,0.210993
32,-1.568,0.210993
33,-1.567,0.210993
34,-1.566,0.210993
35,-1.565,0.210993
36,-1.564,0.210993
37,-1.563,0.210993
38,-1.562,0.210993
39,-1.561,0.210993
40,-1.56,0.210993
41,-1.559,0.210993
42,-1.558,0.210993
43,-1.557,0.210993
44,-1.556,0.210993
45,-1.555,0.210993
46,-1.554,0.210993
47,-1.553,0.210993
48,-1.552,0.210993
49,-1.551,0.210993
50,-1.55,0.210993
51,-1.549,0.210993
52,-1.548,0.210993
53,-1.547,0.210993
54,-1.546,0.210993
55,-1.545,0.210993
56,-1.544,0.210993
57,-1.543,0.210993
58,-1.542,0.210993
59,-1.541,0.210993
60,-1.54,0.210993
61,-1.539,0.210993
62,-1.538,0.210993
63,-1.537,0.210993
64,-1.536,0.210993
65,-1.535,0.210993
66,-1.534,0.210993
67,-1.533,0.214471
68,-1.532,0.212732
69,-1.531,0.393573
70,-1.53,0.42835
71,-1.529,0.290981
72,-1.528,0.219688
73,-1.527,0.210993
74,-1.526,0.210993
75,-1.525,0.210993
76,-1.524,0.210993
77,-1.523,0.210993
78,-1.522,0.210993
79,-1.521,0.210993
80,-1.52,0.210993
81,-1.519,0.210993
82,-1.518,0.210993
83,-1.517,0.210993
84,-1.516,0.210993
85,-1.515,0.210993
86,-1.514,0.210993
87,-1.513,0.210993
88,-1.512,0.210993
89,-1.511,0.210993
90,-1.51,0.210993
91,-1.509,0.210993
92,-1.508,0.210993
93,-1.507,0.210993
94,-1.506,0.210993
95,-1.505,0.210993
96,-1.504,0.210993
97,-1.503,0.210993
98,-1.502,0.210993
99,-1.501,0.210993
100,-1.5,0.210993
101,-1.499,0.210993
102,-1.498,0.210993
103,-1.497,0.210993
104,-1.496,0.210993
105,-1.495,0.210993
106,-1.494,0.210993
107,-1.493,0.210993
108,-1.492,0.210993
109,-1.491,0.210993
110,-1.49,0.210993
111,-1.489,0.210993
112,-1.488,0.210993
113,-1.487,0.210993
114,-1.486,0.210993
115,-1.485,0.210993
116,-1.484,0.210993
117,-1.483,0.214471
118,-1.482,0.214471
119,-1.481,0.391834
120,-1.48,0.42835
121,-1.479,0.292719
122,-1.478,0.221427
123,-1.477,0.210993
124,-1.476,0.210993
125,-1.475,0.210993
126,-1.474,0.210993
127,-1.473,0.210993
128,-1.472,0.210993
129,-1.471,0.210993
130,-1.47,0.210993
131,-1.469,0.210993
132,-1.468,0.210993
133,-1.467,0.210993
134,-1.466,0.210993
135,-1.465,0.210993
136,-1.464,0.210993
137,-1.463,0.210993
138,-1.462,0.210993
139,-1.461,0.210993
140,-1.46,0.210993
141,-1.459,0.210993
142,-1.458,0.210993
143,-1.457,0.210993
144,-1.456,0.210993
145,-1.455,0.210993
146,-1.454,0.210993
147,-1.453,0.210993
148,-1.452,0.210993
149,-1.451,0.210993
150,-1.45,0.210993
151,-1.449,0.210993
152,-1.448,0.210993
153,-1.447,0.210993
154,-1.446,0.210993
155,-1.445,0.210993
156,-1.444,0.210993
157,-1.443,0.210993
158,-1.442,0.210993
159,-1.441,0.210993
160,-1.44,0.210993
161,-1.439,0.210993
162,-1.438,0.210993
163,-1.437,0.210993
164,-1.436,0.210993
165,-1.435,0.210993
166,-1.434,0.210993
167,-1.433,0.214471
168,-1.432,0.212732
169,-1.431,0.391834
170,-1.43,0.426611
171,-1.429,0.294458
172,-1.428,0.221427
173,-1.427,0.210993
174,-1.426,0.210993
175,-1.425,0.210993
176,-1.424,0.210993
177,-1.423,0.210993
178,-1.422,0.210993
179,-1.421,0.210993
180,-1.42,0.210993
181,-1.419,0.210993
182,-1.418,0.210993
183,-1.417,0.210993
184,-1.416,0.210993
185,-1.415,0.210993
186,-1.414,0.210993
187,-1.413,0.210993
